image,address,bathrom,area,pet,district,price,bedroom,availability,id,type
https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/527225/slide_8881845.v.e2675c990e26cf266d843c751667d63f.jpg,101 Ochterloney St,1,1378,Pets Ok,Halifax,$2845,2,Jul 01,527225,Apartment
https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/552476/slide_9522591.v.a3b63a56473408e8b8be63a77752c995.jpg,1585 South Park Street,2.5,1805,No pets,Halifax,$6000,2+den,Immediate,552476,Apartment
https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/506365/slide_8381023.v.771b92783c122ca0c84596b18f1e1706.jpg,5515 Clyde Street,1,600,Cats Ok,Halifax,$3000,1,Immediate,506365,Apartment
https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/506363/slide_8380953.v.736bdb5cd96b3516f7a56536096975d4.jpg,1595 Barrington St,1 -2,570 - 805,No pets,Halifax,$3450-4200,1 - 2,Immediate,506363,Apartment
https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/330150/slide_4045934.v.3ca717f4aee7532de719c2f93155d8d5.jpg,104 Albro Lake Road,1,,No pets,Halifax,$779-889,1 - 2,Immediate,330150,Apartment
https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/330231/slide_4047267.v.232ee56b9e5eff14a4b5dd1e9407765c.jpg,3 Autumn Drive,1,,No pets,Halifax,$769-879,1 - 2,Immediate,330231,Apartment
https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/336566/slide_4174919.v.8c9d6437cbebf5b67389aab6e72a5b19.jpg,995 Mclean Street,1 -2,,Cats Ok,Halifax,$1700-2430,1+den - 3,May 01,336566,Apartment
https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/509752/slide_8469102.v.51b97fda1ee53cfd82bb32019ab9759e.jpg,2735 Clifton Street,2,1056 - 1160,No pets,Halifax,$2655,2,May 01,509752,Apartment
https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/559663/slide_9751028.v.fbafe76987f22550e6baeb1f13a3fd7b.jpg,5511 Charles Street,1,725,No pets,Halifax,$1347,1,May 01,559663,Condo Unit
https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/330232/slide_4047268.v.1561524113af2f81da4a5d30492c6fde.jpg,30 Primrose Street,1,,No pets,Halifax,,1 - 2,No Vacancy,330232,Apartment
