beds_count,baths_count,image_2,other_features,bulding,price,image_0,image_3,image_1,address
1–2 ,1,https://img.zumpercdn.com/685744308/1280x960?fit=crop&h=208&w=329,In Unit Laundry | Garage Parking | On Site Laundry,Stonecrest Village,"$1,895–$2,360",https://img.zumpercdn.com/685744307/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/685744309/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/657786783/1280x960?fit=crop&h=208&w=329,"81 79,81 Radcliffe Drive & 80, Halifax, NS B3M 4P2"
1–2 ,1,https://img.zumpercdn.com/666903114/1280x960?fit=crop&h=208&w=329,Garage Parking | On Site Laundry | Balcony,Park Victoria Apartments,"$2,110–$2,695",https://img.zumpercdn.com/666903112/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/666903115/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/668794491/1280x960?fit=crop&h=208&w=329,"1333 South Park St, Halifax, NS B3J 2K9"
1–2 ,1,https://img.zumpercdn.com/612136634/1280x960?fit=crop&h=208&w=329,,Prince Matthew Palace,"$2,100–$2,550",https://img.zumpercdn.com/701830038/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/720719136/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/612136633/1280x960?fit=crop&h=208&w=329,"1338 Hollis St, Halifax, NS B3J 3X3"
Studio–1 ,1,https://img.zumpercdn.com/612136599/1280x960?fit=crop&h=208&w=329,On Site Laundry | Central Heat | Elevator,The Kingsford,"$1,600–$1,900",https://img.zumpercdn.com/701829998/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/612136600/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/612136598/1280x960?fit=crop&h=208&w=329,"1585 Oxford St, Halifax, NS B3H 3Z3"
,,,,,,,,,
,,,,,,,,,
1 ,1,https://img.zumpercdn.com/612136639/1280x960?fit=crop&h=208&w=329,,King Andrew,"$1,950",https://img.zumpercdn.com/721709385/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/612136640/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/612136638/1280x960?fit=crop&h=208&w=329,"290 Main Ave, Halifax, NS B3M 3V3"
Studio–2 ,1,https://img.zumpercdn.com/703104443/1280x960?fit=crop&h=208&w=329,Garage Parking | On Site Laundry | Balcony,Prince Joe Castle,"$1,700–$2,500",https://img.zumpercdn.com/612136622/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/724301042/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/703104442/1280x960?fit=crop&h=208&w=329,"5778 South St, Halifax, NS B3H 4N5"
2 ,2,https://img.zumpercdn.com/723513995/1280x960?fit=crop&h=208&w=329,In Unit Laundry | On Site Laundry | Elevator,The Vincent Coleman,"$2,110",https://img.zumpercdn.com/723513993/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/723513996/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/723513994/1280x960?fit=crop&h=208&w=329,"3330 Barnstead Lane, Halifax, NS B3L 0B1"
1 ,1,https://img.zumpercdn.com/669421790/1280x960?fit=crop&h=208&w=329,In Unit Laundry | Garage Parking | On Site Laundry,Cunard Court – Lowrise,"$1,995",https://img.zumpercdn.com/662627927/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/662627930/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/669421789/1280x960?fit=crop&h=208&w=329,"2077 2073-2077 Brunswick Street, Halifax, NS B3K 2Y4"
1–2 ,1,https://img.zumpercdn.com/644540787/1280x960?fit=crop&h=208&w=329,In Unit Laundry | On Site Laundry | Balcony,Ocean Brook Apartments,"$1,985–$2,385",https://img.zumpercdn.com/685743775/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/685743776/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/644540786/1280x960?fit=crop&h=208&w=329,"40 Charlotte Lane, Halifax, NS B3M 4N4"
1–2 ,1,https://img.zumpercdn.com/644540870/1280x960?fit=crop&h=208&w=329,Garage Parking | Assigned Parking,The Macdonald,"$2,095–$2,495",https://img.zumpercdn.com/644304425/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/644540871/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/644540869/1280x960?fit=crop&h=208&w=329,"5885 Cunard St, Halifax, NS B3K 1E3"
Studio–1 ,1,https://img.zumpercdn.com/685743868/1280x960?fit=crop&h=208&w=329,Garage Parking | On Site Laundry | Balcony,The Welsford Apartments,"$1,750–$1,985",https://img.zumpercdn.com/643559022/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/685743869/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/685743867/1280x960?fit=crop&h=208&w=329,"2074 Robie St, Halifax, NS B3K 5L3"
1–2 ,1,,Central Heat | Elevator | Onsite Management,Queen Sana Tower,"$2,100–$2,500",https://img.zumpercdn.com/701830000/1280x960?fit=crop&h=208&w=329,,https://img.zumpercdn.com/724290393/1280x960?fit=crop&h=208&w=329,"1157 Tower Rd, Halifax, NS B3H 2Y7"
1 ,1,https://img.zumpercdn.com/688953442/1280x960?fit=crop&h=208&w=329,In Unit Laundry | Garage Parking | On Site Laundry,Cunard Apartments,"$1,950",https://img.zumpercdn.com/688953440/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/688953443/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/688953441/1280x960?fit=crop&h=208&w=329,"2065 Brunswick St, Halifax, NS B3K 5T8"
,,,,,,,,,
,,,,,,,,,
2 ,1,https://img.zumpercdn.com/712231704/1280x960?fit=crop&h=208&w=329,,534 Herring Cove Road,"$1,380",https://img.zumpercdn.com/712231702/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/712231705/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/712231703/1280x960?fit=crop&h=208&w=329,"534 Herring Cove Rd, Halifax, NS B3R 1X4"
